id,job_title,location,salary_currency,career_level,experience_level,education_level,employment_type,job_function,job_benefits,company_process_time,company_size,company_industry,job_description,salary
11,Odoo Developer / IT Full Stack Developer,Jakarta Utara,IDR,Supervisor/Koordinator,2 tahun,Sarjana (S1),Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Kasual (contoh: Kaos);Gaji dan insentif,11 days,201 - 500 pekerja,Manufaktur/Produksi,"The Team You will be joining our IT department, which is in charge of digitization - system development, infrastructure integration, data integration and data analysis - within PT Porto Indonesia Sejahtera. We are a fast paced team focusing on learning agility and speed. We aim to apply the latest technologies to achieve our ambitious vision.  We provide the advantages of established corporation; best resources, personal growth and good working environment. Our IT team is composed of young and talented people, having top background with varying expertise and experience. We have developers, business analysts, data analyst, mobile apps developer and IT infrastructure specialists. Common traits that every team member shares are: curios, innovative, resilient and willingness to learn and move forward. Requirements:At least 2 year experience in Web Development using OdooStrong Knowledge on OOPStrong Knowledge with OdooExperience in develop custom modulesExperience using PostgreSQLExperience using GIT or Versioning ControlGood Knowledge on web programming concept (client-server, HTTP methods, session cookie)Good Knowledge on HTML, CSS & XMLGood Knowledge on JavascriptResponsibilities:Customization of existing Odoo Modul or Creating New ModulEnsure the performance, quality, and Efficiency of applicationsCollaborate with a team to define, design, and ship new featuresIdentify and correct bottlenecks and fix bugs. Help maintain code quality, organization, and automatizationWrite clean, stable, documented and tested codeDeploy Odoo",
12,Identity and Access Management Staff - IT,Jakarta Selatan,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database",Asuransi kesehatan;Formil (contoh: Kemeja + Dasi);Monday to Friday,28 days,501 - 1000 pekerja,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)","University degree in the field of computer science, information science, or management information systems and min 2 years related work experience;Having hands-on experience on password management system will be an advantageHave a good communication skill to communicate with users and high-level usersHaving basic IT Infrastructure (Server, Network, Firewall, Database) knowledgeHaving knowledge on general user access management process and governancePerforming ID Handover for all infra user ID including server, network, firewall & appliances. Ensure the ID can be managed properly by password management systemMaintain administration user ID in operating system, database, network & applicationReview user ID (operating system, database, network & application) periodically based on standard operational & procedure by half yearly basisFamiliar with User Access MatrixAnalyze, maintain & granting right access of user ID based on organization access control matrix & standard operational procedureProvide data & report for internal and external IT purpose related with ID ManagementAnalyze & troubleshoot problem in server, network & appliance related with user IDMaintain & troubleshoot for password management applicationReporting & follow-up incident report regarding Access Management from SIEM related with user ID violationRaise change request and perform verification for any changes required related to password management system application and infrastructure.Assist change request implementation which require IDM assistance for password retrieval or password change post implementation",
13,Sales Project,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Tunjangan Pendidikan;Tip;Asuransi kesehatan;Pinjaman;Bisnis (contoh: Kemeja),12 days,201 - 500 pekerja,Retail/Merchandise,"Job description:1.     Mencari project baru dan melakukan penjualan jasa interior design ke customer project.2.     Mencari dan memantau peluang tender dari perusahaan lain dan pengembang (developer) yang membutuhakan jasa interior design atau furniture.3.     Mencari dan menjalin relasi serta komunikasi yang baik dengan klien dan dapat memastikan pembayaran proyek tepat waktu.4.     Maintenance customer project (database) eksisting.5.     Menyusun proposal sesuai dengan spesifikasi pekerjaan yang diajukan, mulai dari dokumen lelang atau tender sampai dengan dokumen kontrak dari project yang akan dikerjakan.6.     Menjalankan tugas-tugas lain yang berhubungan seperti pengawasan, penagihan, memberikan presentasi kepada klien, melakukan canvassing ke perusahaan pengembang / developer.7.     Mengolah dan mengembangkan database untuk mencapai penjualan serta mengembangkan penjualan yang kreatif.8.     Mencapai target yang sudah ditentukan perusahaan.9.     Menjaga nama baik perusahaan.Kualifikasi:1.     Wnita, berusia maksimal 35 tahun, berpenampilan rapi.2.     Pendidikan S1 semua jurusan.3.     Pengalaman minimal 3 tahun sebagai Marketing Project Interior.4.     Memiliki kemampuan negosiasi, presentasi, dan komunikasi yang baik.5.     Memiliki kemampuan untuk membuat Marketing Plan dan Strategy.6.     Memiliki jaringan yang luas dalam agar dapat memperoleh customer baru.7.     Mampu bekerja dalam tim maupun individual.",
14,Analis Kesehatan & Laboratorium,Bali,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Kontrak,"Sains,Sains & Teknologi",,26 days,1001 - 2000 pekerja,Kesehatan/Medis,"Kualifikasi:Minimal pendidikan D3 Analis Kesehatan & D3 Analis Laboratorium.Minimal memiliki pengalaman selama 1 tahun di bidang yang sama Memiliki Surat Tanda Registrasi (STR) aktif.Mampu bekerja dalam tekanan.Mampu bekerjasama dalam tim.Memiliki kemampuan komunikasi yang baik, jujur, ramah, dan bertanggung jawab.Bisa segera bergabung.",
15,Head Barista,Jakarta Raya,IDR,Supervisor/Koordinator,1 tahun,"SMA, SMU/SMK/STM",Penuh Waktu,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran",Bisnis (contoh: Kemeja);Senin-Sabtu,,201 - 500 pekerja,Makanan & Minuman/Katering/Restoran,"Kualifikasi Pekerjaan :Usia maksimal 35 tahunPendidikan minimal SMA/K sederajat, diutamakan lulusan akademi pariwisataBerpengalaman sebagai Head BaristaMampu berkomunikasi yang baik, bekerja dalam tim dan mempunyai kepemimpinan yang kuatBersedia bekerja secara full time, bekerja di waktu weekend dan public holidayBerpenampilan menarikTugas & Tanggung Jawab :Bertanggung jawab atas proses operasional dan produksi di bar.Mengawasi, melatih dan memonitor kinerja dan operasional tim bawahannya.Menyusun dan memonitor jadwal kerja tim dibawahnya.Memastikan bahwa kualitas minuman Alkohol dan minuman yang tidak beralkohol yang ditawarkan kepada pelanggan adalah yang terbaik.",
16,Property Sales,Tangerang,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Bangunan/Konstruksi,Properti/Real Estate",Parkir;Formil (contoh: Kemeja + Dasi),,,Properti/Real Estate,"Hari gini kesulitan cari client dalam menjual properti? Bergabung bersama kami menjadi Property Sales Prime360.id1. Tidak perlu repot cari client (prospek client diberikan data baru setiap hari)2. Difasilitasi dengan Mobile app, sistem dan Digital Marketing yang terintegrasi3. Tunjangan Cash setiap bulan4. Komisi cair dimuka* setelah tanda tangan Surat Pesanan5. dan bonus menarik lainnya* DAPATKAN INCOME S.D 20JUTA RUPIAH TIAP BULAN NYA! Kualifikasi:Usia maksimal 30 tahunPendidikan Minimal D3Berpenampilan rapiFRESH graduate welcome, tidak perlu ada pengalaman property, akan ditraining (dengan syarat rajin dan mau challenge baru)Berpengalaman mengelola / follow up Lead (Database) DigitalMemiliki kemampuan komunikasi yang baikSiap bekerja dibawah tekananBerdomisili sekitar Tangerang, Jakarta dan BekasiTarget OrientedProaktif, Pekerja Keras dan bersedia di tempatkan bekerja dimanapunSiap dan Bersedia bekerja selama weekend dan libur nasional Tugas & Tanggung Jawab:Melakukan presentasi produk properti ke calon pembeli, dan berusaha semaksimal mungkin melakukan closing untuk mencapai target penjualanMengembangkan dan membangun hubungan dengan calon pembeli dan menjaga hubungan baik dan kepuasan pembeliBertanggung jawab terhadap pencapaian target penjualanBekerja mengikuti metode dan sistem kerja yang diterapkan oleh PerusahaanSiap bekerja baik di kantor maupun di lapangan, mendampingi Customer pada saat visit ke lokasi projectMemastikan terkumpulnya persyaratan dokumen pembeli, seperti NPWP, KTP suami istri, surat nikah, kartu keluarga, surat keterangan penghasilan, rekening koran, dan dokumen persyaratan lainnya yang diminta dari pihak DeveloperMembantu monitoring pembayaran / tagihan Customer dan menginfokan kepada Admin untuk proses penagihan komisi  Penempatan di Alam Sutera / BSD Intermoda / Karang Tengah / Pondok Cabe / Pondok Kelapa / Bekasi / Bali",
17,Sales & Marketing Manager,Cikarang,IDR,Manajer/Asisten Manajer,3 tahun,Tidak terspesifikasi,Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis","Asuransi kesehatan;Waktu regular, Senin - Jumat;Uniform",29 days,201 - 500 pekerja,Automobil/Mesin Tambahan Automotif/Kendaraan,"Requirements:Minimal Bachelor DegreeExcellent Managerial SkillGood interpersonal & communication skillsHaving sales & marketing experienceHave knowledge in the manufacture of automotive componentsFamiliar with automotive components market networkWell-versed in pricing and quotationGood in negotiationEnglish, & Computer literateHaving car licenseWilling to work at Cikarang",
18,Sales Recruiter & Trainer,Jakarta Pusat,IDR,Supervisor/Koordinator,3 tahun,Sarjana (S1),Penuh Waktu,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR","Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",24 days,1001 - 2000 pekerja,Layanan Umum/Tenaga Penggerak,"PT Dalligent Solusi Indonesia - subsidiary of PT Dian Swastatika Sentosa Tbk (www.dssa.co.id) - is looking for energetic and experienced Sales Recruiter & Trainer to do massive hiring for business development team and deliver the training material to sales troops.Job Requirement:Minimum of bachelor degree in any field with minimum GPA > 3,20Minimum 3 years of working experience in mass recruitment for sales position and deliver training to sales teamProficient in englishIf you are ready to take new challenge and be involved in exciting workplace, please apply now and click on the ""Apply"" button at the bottom of this page. Only shortlisted candidates will be notified.",
19,Accounting Staff,Jakarta Pusat,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",Tip;Asuransi kesehatan;Bisnis (contoh: Kemeja);Mondays-Saturdays,,1- 50 pekerja,Manufaktur/Produksi,DESKRIPSI PEKERJAAN:Memeriksa dan/atau membuat dokumen transaksi.Input/catat/jurnal data-data transaksi keuangan.Membuat laporan atas data transaksi keuangan.Mengarsip (filing) dokumen yang telah dicatat. PERSYARATAN:Kandidat setidaknya lulusan SMA sederajat (jurusan akuntansi).Usia maksimal 25 tahun.Pengalaman kerja minimal 1 tahun (tidak mutlak).Mahir software Accurate.Bersedia bekerja penuh dari Senin sampai Sabtu.di Keuangan/Akuntansi/Perbankan atau setara.Lebih disukai yang berdomisili di Jakarta Pusat/Barat.,4750000.0
20,SALES MOTORIS - PONTIANAK,Pontianak,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma)",Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel",Asuransi Gigi;Tip;Asuransi kesehatan;Pinjaman;Penglihatan;uniform;Mondays-Saturday,17 days,Lebih dari 5000 pekerja,Produk Konsumen/Barang konsumen yang bergerak cepat,"Deskripsi Pekerjaan:Melaksanakan proses dan prosedur pencapaian omset penjualan di outlet-outlet Retailer (harian, mingguan, bulanan), Menerima Pembayaran untuk mencapai target yang telah ditetapkan.Melaksanakan pencapaian target distribusi di outlet-outlet Retailer (harian, mingguan, bulanan) untuk mencapai target yang telah ditetapkan.Kualifikasi Pekerjaan:Usia maksimal 27 tahunPendidikan minimal SMAPengalaman sebagai Sales Distribution and Consumer Goods minimal 1 tahunMempunyai SIM CKomunikatif dan target orientedMenguasai wilayah penempatanPenempatan : PONTIANAK, SINGKAWANG",
21,Horeca / Institution Account Executive,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Korporasi","Asuransi kesehatan;Bisnis (contoh: Kemeja);Operational, Meal;Monday - Saturday",25 days,Lebih dari 5000 pekerja,Produk Konsumen/Barang konsumen yang bergerak cepat,"Requirements :Candidate must own at least a Bachelor Degree from any majorAt least 1 year of experience in the related field is required for this positionWilling to be placed in Jabodetabek, West Java, BantenJob Description :Building and maintaining relation or partnership for Horeca / Institutional channelFocusing product penetration for Horeca / Institutional channelMaintaining repeat order from business partner/clientProviding solutions about the product for Horeca / Institutional client needs",
22,Sales Officer,Jakarta Barat,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel","Tunjangan Pendidikan;Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",25 days,2001 - 5000 pekerja,Pendidikan,"Responsibilities:Maintain and implement effective sales activity to achieve sales targetMaintain and enhance effective relationship with various channel of distributionDevelop and maintaining positive business and customer relationshipsBuild strong and effective cooperation which support the overall objectives of the departmentHelping All Marketing activityRequirements:Bachelor's Degree, preferably majoring in Economics / Communication or related fieldsAt least 2-year experiences in Sales / Marketing field especially in EducationTarget OrientedAble to work in a team, self motivate & work under pressureUnderstand curriculumFast learnerStrong verbal and written communication skills in English is a plus",
23,Senior Staff Purchasing,Surabaya,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Manufaktur,Pembelian/Manajemen Material",Asuransi kesehatan;Jam Bekerja yang Panjang;Bisnis (contoh: Kemeja),29 days,1- 50 pekerja,Elektrikal & Elektronik,"Deskripsi Pekerjaan:Mampu melakukan rencana pembelian berdasarkan kebutuhan dan target perusahaanMampu melakukan pemantauan persediaan barang, mendata barang-barang yang masuk dan keluar di gudang (stock opname barang secara berkala)Bertanggung jawab untuk melakukan pengiriman barang dan logisticMemahami mengenai distribusi, transportasi, dan ekspedisi barangMampu membuat laporan pembelian dan stock barangPenerimaan tagihan dari supplier untuk di proses bagian financeCakap dalam administrasi dan FileKualifikasi:Pendidikan S1/D3Domisili di SurabayaBerpengalaman sebagai staf pembelian minimal 2 tahun (di bidang ME & HVAC lebih disukai)Memiliki kemampuan komunikasi, negosiasi, dan menjalin hubungan baik dengan supplierMenguasai Microsoft Office (word, excel)Proaktif,efisien dan mampu bekerja secara mandiri maupun teamDetail, cekatan, bertanggungjawab, loyal, disiplin , pekerja keras dan JUJUR.",5250000.0
